name,ballots,James D. Hooper,Write-in,id
"Redford Township, Precinct 12",582,47,1,1636762500012
"City of Westland, Precinct 1",353,72,0,1638600000001
"City of Westland, Precinct 2",313,70,0,1638600000002
"City of Westland, Precinct 3",430,126,0,1638600000003
"City of Westland, Precinct 4",533,151,0,1638600000004
"City of Westland, Precinct 5",466,144,0,1638600000005
"City of Westland, Precinct 6",355,82,0,1638600000006
"City of Westland, Precinct 7",363,98,1,1638600000007
"City of Westland, Precinct 8",219,19,2,1638600000008
"City of Westland, Precinct 9",287,104,0,1638600000009
"City of Westland, Precinct 10",339,93,1,1638600000010
"City of Westland, Precinct 11",428,116,1,1638600000011
"City of Westland, Precinct 12",308,99,2,1638600000012
"City of Westland, Precinct 13",332,108,2,1638600000013
"City of Westland, Precinct 14",364,128,1,1638600000014
"City of Westland, Precinct 15",227,76,1,1638600000015
"City of Westland, Precinct 16",287,76,0,1638600000016
"City of Westland, Precinct 17",364,88,2,1638600000017
"City of Westland, Precinct 28",329,41,0,1638600000028
