name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Detroit, Precinct 263",22,7,1,13,0,1632200001263.0
"City of Detroit, Precinct 264",9,3,1,5,0,1632200001264.0
"City of Detroit, Precinct 265",3,3,0,0,0,1632200001265.0
"City of Detroit, Precinct 266",0,0,0,0,0,1632200001266.0
"City of Detroit, Precinct 267",1,0,0,1,0,1632200001267.0
"City of Detroit, Precinct 268",2,0,0,2,0,1632200001268.0
"City of Detroit, Precinct 269",4,0,0,3,0,1632200001269.0
"City of Detroit, Precinct 271",17,4,0,12,0,1632200001271.0
"City of Detroit, Precinct 272",1,0,0,1,0,1632200001272.0
"City of Detroit, Precinct 273",6,4,0,2,0,1632200001273.0
"City of Detroit, Precinct 275",9,1,2,6,0,1632200001275.0
"City of Detroit, Precinct 276",17,4,0,11,0,1632200001276.0
"City of Detroit, Precinct 278",17,2,1,13,1,1632200001278.0
"City of Detroit, Precinct 279",28,10,0,17,0,1632200001279.0
"City of Detroit, Precinct 280",1,0,0,1,0,1632200001280.0
"City of Detroit, Precinct 281",6,3,0,3,0,1632200001281.0
"City of Detroit, Precinct 282",6,3,0,3,0,1632200001282.0
"City of Detroit, Precinct 283",34,3,0,31,0,1632200001283.0
"City of Detroit, Precinct 285",14,3,1,10,0,1632200001285.0
"City of Detroit, Precinct 286",4,1,0,1,0,1632200001286.0
"City of Detroit, Precinct 287",6,0,0,6,0,1632200001287.0
"City of Detroit, Precinct 288",5,1,0,3,0,1632200002288.0
"City of Detroit, Precinct 289",4,0,0,4,0,1632200002289.0
"City of Detroit, Precinct 290",7,3,0,4,0,1632200002290.0
"City of Detroit, Precinct 291",24,1,0,22,0,1632200002291.0
"City of Detroit, Precinct 292",15,8,0,6,0,1632200002292.0
"City of Detroit, Precinct 293",5,0,0,4,0,1632200002293.0
"City of Detroit, Precinct 294",10,7,0,3,0,1632200002294.0
"City of Detroit, Precinct 295",24,6,0,17,0,1632200002295.0
"City of Detroit, Precinct 296",15,8,0,7,0,1632200002296.0
"City of Detroit, Precinct 297",14,4,2,7,1,1632200001297.0
"City of Detroit, Precinct 298",10,3,0,6,0,1632200001298.0
"City of Detroit, Precinct 299",16,8,1,7,0,1632200001299.0
"City of Detroit, Precinct 300",7,2,0,5,0,1632200001300.0
"City of Detroit, Precinct 301",1,0,1,0,0,1632200001301.0
"City of Detroit, Precinct 302",12,6,1,5,0,1632200001302.0
"City of Detroit, Precinct 304",1,0,0,1,0,1632200001304.0
"City of Detroit, Precinct 305",9,3,0,6,0,1632200001305.0
"City of Detroit, Precinct 306",19,7,1,10,0,1632200001306.0
"City of Detroit, Precinct 307",16,6,0,8,0,1632200001307.0
"City of Detroit, Precinct 308",39,16,0,23,0,1632200001308.0
"City of Detroit, Precinct 309",6,2,1,2,0,1632200001309.0
"City of Detroit, Precinct 310",10,5,0,5,0,1632200001310.0
"City of Detroit, Precinct 311",25,6,0,19,0,1632200001311.0
